
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2026-09-11 11:18:53 /fonts/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgA.woff2 ...................................... ~ 7.05ms
  2026-09-11 11:18:53 /api/menu .......................................................................... ~ 552.95ms
  2026-09-11 11:18:53 /fonts/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 .................................. ~ 564.73ms
  2026-09-11 11:18:53 /welcome-bg.jpg .................................................................... ~ 569.55ms
  2026-09-11 11:18:54 /api/notifications ................................................................. ~ 523.11ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/coca_cola_original_taste.webp ......................... ~ 0.66ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/soda_water.webp ....................................... ~ 2.59ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/coca_cola_zero_sugar.webp ............................ ~ 10.44ms
  2026-09-11 11:18:55 /menu-sw.js ......................................................................... ~ 12.28ms
  2026-09-11 11:18:55 /favicon.ico ......................................................................... ~ 0.76ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/royal_tru_orange.webp ................................. ~ 0.45ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/tonic_water.webp ...................................... ~ 1.51ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/sprite.webp ........................................... ~ 0.45ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/missin_you.webp ....................................... ~ 0.87ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/the_hungry_caveman.webp ............................... ~ 0.58ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/bento_cakes.webp ...................................... ~ 3.36ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/bluebrry_cheesecake.webp .............................. ~ 5.21ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/british_gentlemen.webp ................................ ~ 4.55ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/cinnamon_roll.webp .................................... ~ 0.42ms
  2026-09-11 11:18:55 /fonts/fonts.css ..................................................................... ~ 0.25ms
  2026-09-11 11:18:55 /menu.html ........................................................................... ~ 0.16ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/n_y_cheesecake.webp ................................... ~ 0.37ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/classic_croissant.webp ................................ ~ 0.17ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/pain_au_chocolait.webp ................................ ~ 0.39ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/portuguese_egg_tart.webp .............................. ~ 0.17ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/tiramisu_cake.webp .................................. ~ 511.03ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/sultans_time.webp ..................................... ~ 0.75ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/g_i_joes.webp ......................................... ~ 1.34ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/coca_cola_original_taste.webp ......................... ~ 1.50ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/coca_cola_zero_sugar.webp ............................. ~ 0.60ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/royal_tru_orange.webp ................................. ~ 0.83ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/soda_water.webp ....................................... ~ 0.87ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/sprite.webp ........................................... ~ 1.43ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/tonic_water.webp ...................................... ~ 2.55ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/british_gentlemen.webp ................................ ~ 2.43ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/the_hungry_caveman.webp ............................... ~ 5.63ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/missin_you.webp ...................................... ~ 10.70ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/bento_cakes.webp ...................................... ~ 3.79ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/bluebrry_cheesecake.webp .............................. ~ 0.27ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/the_blind_curve.webp .................................. ~ 0.33ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/surfy_turfy.webp ...................................... ~ 0.34ms
  2026-09-11 11:18:57 /storage/menu-items/thumbnails/cinnamon_roll.webp .................................... ~ 6.11ms
  2026-09-11 11:18:58 /storage/menu-items/thumbnails/classic_croissant.webp ................................ ~ 0.36ms
  2026-09-11 11:18:58 /storage/menu-items/thumbnails/n_y_cheesecake.webp ................................... ~ 8.00ms
  2026-09-11 11:18:58 /storage/menu-items/thumbnails/portuguese_egg_tart.webp .............................. ~ 2.84ms
  2026-09-11 11:18:58 /storage/menu-items/thumbnails/pain_au_chocolait.webp ................................ ~ 0.32ms
  2026-09-11 11:18:58 /storage/menu-items/thumbnails/tiramisu_cake.webp .................................... ~ 1.09ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/g_i_joes.webp ......................................... ~ 0.51ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/sultans_time.webp ..................................... ~ 0.70ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/blue_freeze.webp ...................................... ~ 0.17ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/margarita.webp ........................................ ~ 0.23ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/me_vin_peach_stops.webp ............................... ~ 0.66ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/mojito.webp ........................................... ~ 0.16ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/rainbow_paradise.webp ................................. ~ 0.11ms
  2026-09-11 11:18:59 /storage/menu-items/thumbnails/sex_on_the_beach.webp ................................. ~ 2.04ms
  2026-09-11 11:18:59 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:18:59 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:19:01 /api/menu ................................................................................ ~ 1s
  2026-09-11 11:19:02 /storage/menu-items/thumbnails/sunken_s_treasure.webp .............................. ~ 567.13ms
  2026-09-11 11:19:02 /storage/menu-items/thumbnails/tequila_sunrise.webp .................................. ~ 1.74ms
  2026-09-11 11:19:02 /storage/menu-items/thumbnails/mango_cake.webp ....................................... ~ 4.35ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/sunken_s_treasure.webp ................................ ~ 0.63ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/tequila_sunrise.webp .................................. ~ 5.35ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/mango_pancake_stack.webp .............................. ~ 6.90ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/pancake_stack.webp .................................... ~ 0.16ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/mango_cake.webp ....................................... ~ 0.22ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/rocking_bunny_pudding.webp ............................ ~ 0.13ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/mango_pancake_stack.webp .............................. ~ 0.42ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/shaved_ice.webp ....................................... ~ 0.11ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/pancake_stack.webp .................................... ~ 0.10ms
  2026-09-11 11:19:03 /storage/menu-items/thumbnails/rocking_bunny_pudding.webp ............................ ~ 0.10ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/beaten_lemon_tea.webp ................................. ~ 0.11ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/four_season_tea.webp .................................. ~ 1.41ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/shaved_ice.webp ....................................... ~ 0.13ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/fresh_mango_lemon_tea.webp ............................ ~ 0.10ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/beaten_lemon_tea.webp ................................. ~ 0.10ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/four_season_tea.webp .................................. ~ 0.12ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/flying_dream.webp ..................................... ~ 0.11ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/fresh_mango_lemon_tea.webp ............................ ~ 2.56ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/paella_paella.webp .................................... ~ 0.54ms
  2026-09-11 11:19:04 /storage/menu-items/thumbnails/seafood_tom_yum_goong_soup.webp ....................... ~ 1.49ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/flying_dream.webp ..................................... ~ 0.17ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/paella_paella.webp .................................... ~ 0.23ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/yellow_aurora.webp .................................... ~ 1.87ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/seafood_tom_yum_goong_soup.webp ....................... ~ 0.13ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/avocado_shake.webp ................................... ~ 29.81ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/mango_shake.webp ..................................... ~ 59.02ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/yellow_aurora.webp .................................... ~ 0.20ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/watermelon_shake.webp ................................ ~ 10.27ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/mango_shake.webp .................................... ~ 505.10ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/avocado_shake.webp .................................. ~ 506.21ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/baby_squid_spagheti.webp .............................. ~ 0.12ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/daylight_pesto_pasta.webp ............................. ~ 0.98ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/watermelon_shake.webp ................................. ~ 0.10ms
  2026-09-11 11:19:05 /storage/menu-items/thumbnails/jjampong_pasta.webp ................................... ~ 0.10ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/baby_squid_spagheti.webp .............................. ~ 0.10ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/daylight_pesto_pasta.webp ............................. ~ 0.10ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/midnight_seafood_pasta.webp ........................... ~ 0.10ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/octopus_spaghetti.webp ................................ ~ 0.89ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/jjampong_pasta.webp ................................... ~ 3.80ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/rich_cream_pasta.webp ................................. ~ 0.31ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/midnight_seafood_pasta.webp ........................... ~ 0.21ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/shrimp_meets_rose_pasta.webp .......................... ~ 0.21ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/octopus_spaghetti.webp ................................ ~ 0.19ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/hawaiian_jalapeno_pizza.webp .......................... ~ 0.17ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/rich_cream_pasta.webp ................................ ~ 16.46ms
  2026-09-11 11:19:06 /storage/menu-items/thumbnails/mango_shrimp_pizza.webp ............................... ~ 4.86ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/shrimp_meets_rose_pasta.webp .......................... ~ 2.20ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/pepperoni_pizza.webp .................................. ~ 1.97ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/hawaiian_jalapeno_pizza.webp .......................... ~ 6.53ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/mango_shrimp_pizza.webp ............................... ~ 2.84ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/volcano_pizza.webp .................................... ~ 1.84ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/baby_squid_rice_bowl.webp ............................. ~ 1.25ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/pepperoni_pizza.webp .................................. ~ 1.58ms
  2026-09-11 11:19:07 /storage/menu-items/thumbnails/chick_bim_bowl.webp ................................... ~ 0.65ms
  2026-09-11 11:19:07 /api/menu .......................................................................... ~ 510.50ms
  2026-09-11 11:19:08 /storage/menu-items/thumbnails/volcano_pizza.webp .................................... ~ 0.21ms
  2026-09-11 11:19:08 /storage/menu-items/thumbnails/avo_smash.webp ........................................ ~ 1.45ms
  2026-09-11 11:19:08 /storage/menu-items/thumbnails/baby_squid_rice_bowl.webp ............................. ~ 2.58ms
  2026-09-11 11:19:08 /storage/menu-items/thumbnails/spicy_octopus_rice_bowl.webp .......................... ~ 2.13ms
  2026-09-11 11:19:08 /storage/menu-items/thumbnails/chick_bim_bowl.webp ................................... ~ 4.26ms
  2026-09-11 11:19:08 /storage/menu-items/thumbnails/avocado_shrimp.webp .................................. ~ 10.80ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/spicy_octopus_rice_bowl.webp .......................... ~ 2.78ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/avo_smash.webp ........................................ ~ 3.78ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/hail_caesar.webp ...................................... ~ 0.24ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/hello_salmon.webp ..................................... ~ 0.11ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/spicy_octopus_rice_bowl.webp .......................... ~ 0.10ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/shrimp_shady.webp ..................................... ~ 1.01ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/avocado_shrimp.webp ................................... ~ 2.66ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/avocado_shrimp.webp ................................... ~ 0.60ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/hail_caesar.webp ...................................... ~ 0.12ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/hello_salmon.webp ..................................... ~ 0.10ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/comoda_bqq_platter.webp ............................... ~ 0.10ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/salmon_garden.webp .................................... ~ 0.13ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/shrimp_shady.webp ..................................... ~ 0.10ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/hail_caesar.webp ...................................... ~ 0.11ms
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/snowflake_cheese_shrimp.webp .......................... ~ 0.10ms
